scene_id,variant,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals,delta_T,delta_T_over_K,delta_move_m,delta_movement_s,delta_n_measure,delta_discovery_measure,delta_refine_measure,delta_discovery_no_signal,delta_refine_no_signal,delta_failed_clears,delta_n_clear,delta_n_optical_fallback,delta_measure_s,delta_clear_s,delta_after_last_clear_s,delta_switches
mixed_endpoint_50010,baseline,50010,mixed,endpoint,ea902b3a29ca09ac17a376db333376f3791052b29ed18437bf98ef63ef90a388,13,13,6745.380938791291,518.8754568300993,23501.90469395645,9007.242916500558,333,15,13,0,25,,True,10,74,1.7922015000658575,1.87152490002336,288,275,45,5,1973.9999999999995,71.00000000000026,4700.380938791292,183.144717710019,2,309,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,8235d3d9ca37412d73279b668ea760ffff5b797d27cff7784db95fa9f7e0f70c,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50011,baseline,50011,mixed,endpoint,7e0a970d25d0443ec8543701869009526f28fb63cba7ece232743bdb06ef694e,13,13,6234.283055247891,479.5602350190685,22501.41527623945,7511.17726753938,279,18,13,0,25,,True,16,60,1.0403909000451677,1.087856099999044,245,232,34,2,1654.000000000001,79.99999999999999,4500.283055247891,525.5775709557929,5,259,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,256f837d9b2a565e8083bf643f038632288f2af441ee3bba3a0397c281371bfe,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50012,baseline,50012,mixed,endpoint,ad25c65a87778769a30a4dbf04eaa68034115dbd7e1719e7a90903ac917fb8cf,11,11,7070.112166390011,642.7374696718192,24625.56083195006,8050.027608759075,350,15,11,0,25,,True,4,58,0.9061989000474568,0.9595057000115048,327,316,23,0,2077.999999999999,66.9999999999999,4925.112166390012,173.61406153320058,4,328,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,0ff0b55f44c71e61fabb6e18f52c3d7be1fb489a90a595023963adb2d2e0bbf2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50013,baseline,50013,mixed,endpoint,bc356a8efece2e65e51c61ce630cf59c72fdcfc09e7ca54911f1c5f5315cf625,15,15,6549.640115787963,436.64267438586415,24548.200578939814,8771.445523093358,261,21,15,0,25,,True,12,75,1.4067676998965908,1.474150699999882,219,204,42,4,1546.9999999999989,92.99999999999956,4909.640115787965,0.0,6,242,0.0,True,943.0121947375768,17.74943008678929,bb38ece0f3af73509b40267c23a272015ff93b7bb4e0b273ee5f63b6f3d1c415,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50014,baseline,50014,mixed,endpoint,3d244667956050310dfdc115fb40a684516a44e4741d1e7bdd0d1e5aaafe3cd1,16,16,5935.525469615585,370.9703418509741,23182.627348077916,12697.54983767979,204,20,16,0,19,,True,9,64,1.0851933000376448,1.123049299989361,169,153,35,6,1207.0000000000027,92.00000000000018,4636.525469615583,0.0,4,187,2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,2dfecc0ee44cc723dc805263982a40461ff367a6df2e258d74c0077242cb49db,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50015,baseline,50015,mixed,endpoint,59b183da8e7466647ea50eac5653055aa0922a944271cb98242286a77cc05e7c,13,13,7150.310261694843,550.0238662842187,27381.551308474223,10445.98487881724,269,20,13,0,25,,True,9,70,1.037445699912496,1.0754753000219353,234,221,35,2,1587.9999999999995,85.99999999999861,5476.310261694843,238.9183241631181,7,243,-1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,3bbe352c5952da17c8565fd3b3f38c4e979152230495d6a754fecd9f882c6ebd,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50016,baseline,50016,mixed,endpoint,f07c27d215c0a483ec2a830537d28fc8d4c4d9985ce1b42a501ab201c8326655,15,15,6833.279625184096,455.551975012273,27541.39812592047,13360.237662990725,211,20,15,0,25,,True,12,78,0.9273824000556488,0.9592105000047012,165,150,46,9,1235.000000000001,89.99999999999983,5508.279625184094,762.6224275534132,5,180,1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,8f625697664ef3e26bff4c2a72641f8ac92cbb08d50aafcd1bb32765ec07adce,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50017,baseline,50017,mixed,endpoint,ed094af449f0d3dc7ce98096b16b170b5263e664775f310b67c69d530994ad8b,13,13,6699.559868206451,515.350759092804,24772.799341032263,10649.518532692622,281,18,13,0,25,,True,10,66,0.7082949000177905,0.745844599994598,247,234,34,2,1665.0,79.99999999999858,4954.559868206452,1484.511119468053,5,260,-1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,60bb3744790ba9eb153e7edec9443588a3ae6ed1fac21113eef5241cd8c851e5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50018,baseline,50018,mixed,endpoint,446395e8cb3f1d96b68557ea317d263a8109cc7993e6cc1736fbc83eca8ff0be,11,11,6038.322908239715,548.9384462036104,21516.614541198574,7034.52355274892,283,13,11,0,25,,True,9,56,0.734780600090744,0.7710425999830477,255,244,28,1,1674.0000000000011,60.99999999999929,4303.322908239716,117.17195046128109,2,259,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,7c230ece0cd93b6f69a78be73773c3d42ce975aef061dba278cf041061534cb1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50019,baseline,50019,mixed,endpoint,6a8a96fa28c28125d8d9b2a0de43c989b16ad66d42d83fb211d77b2498b03d8d,16,16,6350.644514618998,396.9152821636874,25983.222573095,13286.215884949552,181,20,16,0,22,,True,12,72,1.185359300172422,1.2259265999891795,138,122,43,4,1061.999999999999,91.99999999999994,5196.644514618998,0.0,4,157,-1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,bba5c782447df442ac65547d369c77d895b6889cef126b655828b90e2b0473d1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
