variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals
C1,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6915.563096754736,691.5563096754736,23977.81548377368,8563.750714646529,343,21,10,2,25,,True,8,60,0.949495900014881,1.006617200007895,315,305,28,3,2037.0000000000002,82.99999999999967,4795.563096754735,1020.4855514512865,11,322,0.0,True,943.0121947375769,17.74943008678929,fb96ead54b059d365f9885ac4bb8d6be155af408126b99c4515aedbd13658c0a,0,0,0,0,0,0,12
M75,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,7096.999879982032,709.6999879982033,24894.99939991016,9734.06252549384,347,14,10,0,25,,True,6,62,1.1151192998804618,1.1581982000207063,317,307,30,3,2056.0000000000014,62.00000000000051,4978.9998799820305,0.0,4,321,0.0,True,943.0121947375769,17.74943008678929,195db4050ceab61e75cd4c36ef87e7fdc0dd915b3b41d9718cce4dbf4a14dca8,0,0,0,6,0,0,0
M50,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,7028.639908431396,702.8639908431396,24593.199542156988,9467.39045107336,344,15,10,0,25,,True,9,57,1.0900778999784961,1.1429971000179648,317,307,27,4,2045.0000000000005,65.00000000000048,4918.639908431395,0.0,5,325,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,9012c4c5df8ffd295fe576b2c96eabb2258e997e729b1ec6f224b484b1f64793,0,0,0,8,0,0,0
LPC,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6223.574764431494,622.3574764431494,21332.873822157457,6544.992129585078,317,18,10,3,25,,True,11,44,0.722451099922182,0.7646772000007331,298,288,19,3,1883.0000000000014,74.00000000000074,4266.574764431492,815.4893533954437,8,298,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,ca8287ccedc276bc0c5d708541983d23d027fd432bf43b1753e1be09bd9408d9,11,0,0,0,11,0,23
baseline,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6728.817565525966,480.6298261089975,25754.08782762983,8867.40612163712,254,20,14,0,25,,True,7,77,0.7757795999932569,0.8139608000055887,214,200,40,1,1490.0000000000005,87.99999999999956,5150.8175655259665,2320.2636428729866,6,220,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,f7923a68d102e229ae11303e8e6d4bd14f1cc763e13edf39acc287cd61e54c92,0,0,0,0,0,0,0
PC,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6569.600274166358,656.9600274166357,22553.00137083179,7158.054840918124,327,33,10,6,25,,True,9,52,0.8293533999240026,0.8978033000021242,300,290,27,2,1940.0000000000007,119.00000000000014,4510.600274166358,1160.49294511664,23,305,0.0,True,943.0121947375769,17.74943008678929,8fae5a200f8008512ac3871104e6923dca47a7e6dce028bde887d99dcb9ba308,9,0,0,0,9,0,49
LC,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6340.439893315939,634.0439893315939,21382.199466579692,6423.08447381446,335,17,10,4,25,,True,7,44,0.986819500074489,1.0430925999826286,319,309,16,1,1993.0000000000007,71.00000000000038,4276.439893315938,214.10450308801683,7,318,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,d58121619e74644d0d03c70daba1b620d57661d2094ea3d2a19746cd0852237e,0,0,0,0,0,0,6
S_all,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6518.26647407342,465.59046243381573,24836.332370367105,8026.145384370147,248,19,14,0,25,,True,18,60,0.7380027000035625,0.7830305000243243,213,199,35,0,1466.0000000000002,84.99999999999977,4967.26647407342,2193.618069026349,5,226,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,5dcaabe2019779ff12bd1e9e455c96e6a51edc9e221caa2dd3ff8c0941d82def,18,0,0,0,0,0,0
previous_best,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6080.880122102571,434.34858015018364,23144.40061051284,7500.306614828933,230,22,14,0,25,,True,21,55,0.7410964000737295,0.7747307000099681,200,186,30,0,1358.0000000000007,94.00000000000097,4628.880122102569,1417.8197707322224,8,208,2.7284841053187847e-12,True,943.0121947375769,2.074856830987301,756b7f71065ad1dd9d242e9df9a0f5ba8c2828eb4120db429a9329de8b20948a,21,11,0,0,0,0,0
L30,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6020.342031109789,430.02443079355635,23476.71015554894,9704.268453315684,211,16,14,0,25,,True,6,57,0.883440700097708,0.9093860000139102,188,174,23,0,1249.0000000000005,76.00000000000082,4695.342031109789,1999.1108400316525,2,194,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,875843ddc833db70551758aa8e9c200b7224924d6f431b3525c33032b30171ad,0,0,0,0,0,0,0
L90,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6339.5891301585725,452.8277950113266,24407.945650792863,8370.912045452236,232,19,14,0,25,,True,9,60,1.0855114998994395,1.121239100000821,206,192,26,0,1372.999999999999,85.00000000000126,4881.5891301585725,338.6099617840855,5,213,0.0,True,943.0121947375769,17.74943008678929,dfabf33a98e22598b29eb3105ce983cb104f5676931d6e54e8fa026793531a91,0,0,0,0,0,0,0
P1,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6253.865258466116,446.70466131900827,23614.326292330567,8235.29587456663,246,19,14,0,25,,True,13,68,0.790916600060882,0.8353865999961272,208,194,38,1,1446.0000000000016,85.00000000000051,4722.865258466115,1397.3066572900925,5,216,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,e253fc9a6f7a1b6ff7aa478ee0c4dbebe6ff17d701949a0b8861d5595384d1a7,13,0,0,0,13,0,0
F60,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6728.817565525966,480.6298261089975,25754.08782762983,8867.40612163712,254,20,14,0,25,,True,7,74,0.43914900009986013,0.8373961999895982,214,200,40,1,1490.0000000000005,87.99999999999956,5150.8175655259665,2320.2636428729866,6,220,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,4c77b5a6ba1f8db33853af657ea628ffd25dd882628a2c5f8d112f1d7abce7bc,0,0,0,0,0,3,0
P2,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6602.529639644693,471.6092599746209,24617.64819822347,9582.809750180892,270,18,14,0,25,,True,17,62,0.8759327001462225,0.9307468000042718,233,219,37,1,1597.0000000000007,81.9999999999988,4923.529639644694,443.8959538026984,4,247,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,ef73a176ffb17fb221c57b82f3ba2d56af6e7fc4151bbb5c25aea45483705a81,17,0,0,0,17,0,0
F120,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6706.665147935185,479.0475105667989,25643.32573967593,8743.686062028386,254,20,14,0,25,,True,7,61,0.500978399941232,0.922823500004597,214,200,40,1,1490.0000000000002,87.99999999999935,5128.665147935186,2320.2636428729866,6,220,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,93f9733444eab09cd069ba0c2316a3f728aefd0adec4934cd1a513fd5f609a84,0,0,0,0,0,16,0
C1,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6595.360089770989,471.0971492693564,25136.800448854945,8236.12538668313,251,22,14,4,25,,True,7,73,0.9432808000128716,0.9801346999884117,214,200,37,1,1474.0000000000007,94.00000000000092,5027.36008977099,2320.2636428729866,8,219,0.0,True,943.0121947375769,17.74943008678929,edb3f0c98be7c09863829a64051aad678e44c1f25a7d6840670180b28cce2159,0,0,0,0,0,0,17
C15,mixed_endpoint_50001,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6544.217248950367,467.4440892107405,24791.08624475183,7887.344479920989,248,34,14,7,25,,True,7,66,1.1313308998651337,1.1954083000018727,214,200,34,1,1456.0000000000005,130.0000000000012,4958.217248950366,2320.2636428729866,20,216,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,29cfe47a5849397b118ff3b6dc2c81627e297f15f1d67b975e55bb8aa92d436e,0,0,0,0,0,0,113
