variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,source_kind,error_mode
L30,L 局部完成代价（惩罚30 s）,50,646,646,50,0,541.097548209595,724.4589031001964,24,26,0,93.9373503885779,directional_endpoint_50046,-4.521951172334106,0.8071582966781121,1.4757829993085836,1.4067841178017404,6990.9803228679675,555.7090705422817,25566.90161433984,5113.380322867968,299.96,264.28,35.68,251.36,9.26,12.62,25.54,0.28,1775.1400000000003,102.45999999999992,357.34796943641265,275.34,directional,endpoint
M50,M 后验质量试清除（0.50）,50,646,646,50,0,542.0315949823753,713.2380449057836,31,19,0,11.698626086100603,directional_endpoint_50015,-5.009586251492947,0.894200081273766,0.9792893953625037,0.7231133315803273,7003.048207172289,555.2214354631228,25695.741035861447,5139.148207172289,302.04,263.46,38.58,250.54,6.22,4.92,17.84,0.04,1784.54,79.36000000000001,388.9845681157873,274.34,directional,endpoint
PC,P + C,50,646,646,50,0,523.7170119728615,696.8469863529302,40,10,0,34.44259537316054,directional_endpoint_50044,-22.729992176350276,4.057253399996297,5.949727764724388,1.8800946621088666,6766.423794689371,537.5010295382655,24405.918973446856,4881.18379468937,298.52,265.7,32.82,252.78,4.54,17.14,30.06,5.96,1769.2200000000005,116.02000000000025,325.80788422230876,276.62,directional,endpoint
M75,M 后验质量试清除（0.75）,50,646,646,50,0,540.4521223902843,717.8269747516814,27,23,0,61.28463211897895,directional_endpoint_50026,-5.647323810606741,1.0080348270116835,1.279229023195827,0.6968183013410512,6982.641421282474,554.583697904009,25617.90710641238,5123.581421282476,302.12,261.92,40.2,249.0,6.0,4.02,16.94,0.06,1782.4000000000003,76.66000000000004,421.85491844373524,271.8,directional,endpoint
LC,L + C,50,646,646,50,0,535.1871249690316,720.0241762754795,33,17,0,81.21706039088963,directional_endpoint_50046,-11.364855085428793,2.028601531319374,3.096266713716478,2.4848803576124068,6914.617654599889,548.8661666291869,25146.38827299945,5029.2776545998895,296.68,266.9,29.78,253.98,8.64,20.94,33.86,5.6,1757.92,127.42000000000009,345.7389766920259,274.52,directional,endpoint
LPC,L + P + C,50,646,646,50,0,531.3544371618659,706.0052380501645,30,20,0,84.94211185695309,directional_endpoint_50002,-15.52739738044667,2.7716061372189293,4.459632681316982,1.3147515119642406,6865.099328131308,544.7036243341691,24792.596640656535,4958.519328131309,300.24,268.84,31.4,255.92,8.24,20.32,33.24,5.44,1781.02,125.56000000000019,331.4575730497137,279.82,directional,endpoint
baseline,冻结基线 TRI25 + V4,200,2624,2624,200,0,512.6342356652375,694.8998576595524,0,0,200,0.0,mixed_endpoint_50000,0.0,0.0,0.0,0.0,6725.761171927916,526.7929090635871,24896.65585963958,4979.331171927916,281.225,244.28,36.945,231.16,3.725,6.3,19.42,0.07,1661.93,84.50000000000001,386.2832581078951,255.805,mixed,endpoint
previous_best,上轮 JSO + 紧凑外圈 + D-optimal,200,2624,2624,200,0,486.8634908209122,657.4300543683323,158,42,0,78.72858292631042,mixed_endpoint_50109,-26.134847139206794,4.96112356289371,6.226883925808446,2.1619699528847125,6387.648999570369,500.65806192438026,23346.369997851838,4669.273999570368,275.145,244.895,30.25,231.775,4.78,7.195,20.315,0.04,1631.19,87.18500000000007,292.0473873852832,255.465,mixed,endpoint
S_all,S 不限制单站补测数量,200,2624,2624,200,0,503.7233783359125,682.0716235248743,129,71,0,97.61248883274578,mixed_endpoint_50129,-8.801403890902753,1.6707521569619965,3.0032235856054634,-2.0304027024624416,6608.850723767172,517.9915051726844,24148.95361883586,4829.7907237671725,286.935,246.335,40.6,233.215,3.41,5.415,18.535,0.025,1697.215,81.84499999999984,397.4251321646966,262.54,mixed,endpoint
F60,F 连续处理当前源（60 m）,200,2624,2624,200,0,512.4028132927356,694.8998576595524,5,5,190,2.2281807587391995,mixed_endpoint_50122,-0.18990858128729002,0.036049950183425494,0.057864428529441625,0.008889679082602076,6722.724910400691,526.6030004822999,24882.249552003457,4976.449910400692,281.2,244.275,36.925,231.155,3.72,6.295,19.415,0.07,1661.79,84.48500000000001,386.2832581078951,255.79,mixed,endpoint
