scene_id,variant,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals,delta_T,delta_T_over_K,delta_move_m,delta_movement_s,delta_n_measure,delta_discovery_measure,delta_refine_measure,delta_discovery_no_signal,delta_refine_no_signal,delta_failed_clears,delta_n_clear,delta_n_optical_fallback,delta_measure_s,delta_clear_s,delta_after_last_clear_s,delta_switches
boundary_endpoint_50034,previous_best,50034,boundary,endpoint,83dea3ab3177467f1baca5b18caadde40fd00811a478d8f40e66ffefe0a6bd53,16,16,7791.038389502071,486.93989934387946,27240.191947510364,10019.473496549324,381,18,16,0,25,,True,5,68,1.5801359000615776,1.6660879999981262,350,334,31,12,2257.0,86.00000000000016,5448.038389502071,0.0,2,352,-1.8189894035458565e-12,True,943.0121947375768,2.074856830987301,d9570c3eeb79c8ddb175c817f3e752e23f2b42b885fb66c72ff1c7fca4442b91,5,3,0,0,0,0,0,1959.1981570830721,122.44988481769201,7035.990785415372,1407.1981570830712,93,98,-5,98,-4,-1,-1,0,555.0000000000002,-2.999999999999332,0.0,90
mixed_endpoint_50059,L90,50059,mixed,endpoint,e26c575e514b5ab784184e4e9311f52af4546c068dc5f00de8aebe58b6573442,11,11,7558.30940225241,687.1190365684009,27246.547011262035,11178.290661730154,343,16,11,0,25,,True,8,57,1.1532426001213023,1.2143279000010807,318,307,25,1,2039.0000000000016,70.00000000000104,5449.309402252407,0.0,5,324,2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,b6541f00fac5c1ba6e863c77972363c3bd531a801f80e67b985da9484e407eec,0,0,0,0,0,0,0,1263.4241570447293,114.85674154952085,4962.120785223626,992.4241570447248,44,45,-1,45,0,-1,-1,0,274.0000000000007,-2.999999999997513,-772.1697106940674,54
mixed_endpoint_50165,M50,50165,mixed,endpoint,2f75e1c6abc81be0165be922014532c5200be5e65af0c4c3e3dd10d3cab6e15e,16,16,6551.285536326124,409.4553460203828,25716.427681630616,13317.213179876697,224,21,16,0,22,,True,8,84,2.3785471002047416,2.4404985000146557,174,158,50,5,1312.9999999999998,94.99999999999996,5143.285536326126,0.0,5,193,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,c084d86ce4ca2d05be4457ab21f06e50082a6631fc934daa192cc876a4a14e80,0,0,0,8,0,0,0,1583.1194645009928,98.9449665313121,5895.597322504964,1179.1194645009955,70,65,5,65,4,-2,-2,0,409.9999999999998,-6.000000000001137,0.0,60
boundary_endpoint_50034,L90,50034,boundary,endpoint,83dea3ab3177467f1baca5b18caadde40fd00811a478d8f40e66ffefe0a6bd53,16,16,7410.921315687649,463.1825822304781,25689.606578438263,9247.918561096856,369,17,16,0,25,,True,2,62,1.542011399869807,1.609011599997757,346,330,23,6,2189.9999999999973,83.00000000000117,5137.921315687651,0.0,1,345,-2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,c4876601db5a088a5ad808bc2f2e89fe815048ff6049afc3fa2c4b76dceb8840,0,0,0,0,0,0,0,1579.0810832686502,98.69256770429064,5485.40541634327,1097.0810832686511,81,94,-13,94,-10,-2,-2,0,487.9999999999975,-5.999999999998323,0.0,83
mixed_endpoint_50129,S_all,50129,mixed,endpoint,2587af8dfe9b97192481c2861dc059d08a336536f3b14c9c5f0e06102286de46,15,15,7796.480611958971,519.765374130598,29192.40305979485,14902.157593997244,316,19,15,0,25,,True,13,73,1.3839959999895657,1.459274799999548,273,258,43,6,1871.0000000000011,86.99999999999937,5838.480611958968,326.9633760491224,4,291,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,3c9a34187e9d6a552899c83dee34e08123540aba43fee5986af138467cca7bf6,13,0,0,0,0,0,0,1464.1873324911876,97.61248883274578,5525.93666245593,1105.1873324911849,60,56,4,56,2,-1,-1,0,362.0000000000002,-3.00000000000027,25.713936703480613,62
mixed_endpoint_50129,P2,50129,mixed,endpoint,2587af8dfe9b97192481c2861dc059d08a336536f3b14c9c5f0e06102286de46,15,15,7796.480611958971,519.765374130598,29192.40305979485,14902.157593997244,316,19,15,0,25,,True,13,73,1.3250397999654524,1.4095743999932893,273,258,43,6,1871.0000000000011,86.99999999999937,5838.480611958968,326.9633760491224,4,291,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,0b84364a6068927980733949739b32284671a0f5376d099e879ad0d52cc2dae5,13,0,0,0,13,0,0,1464.1873324911876,97.61248883274578,5525.93666245593,1105.1873324911849,60,56,4,56,2,-1,-1,0,362.0000000000002,-3.00000000000027,25.713936703480613,62
mixed_endpoint_50129,P1,50129,mixed,endpoint,2587af8dfe9b97192481c2861dc059d08a336536f3b14c9c5f0e06102286de46,15,15,7795.966774272084,519.7311182848056,29189.83387136041,14899.5884055628,316,19,15,0,25,,True,13,73,1.3892162999254651,1.4789152000157628,273,258,43,6,1871.0000000000011,87.00000000000026,5837.966774272081,326.9633760491224,4,291,1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,47368c2f4006e7ef64f73285a252da035412d7adb64efb1d8d6aec238a1ce5ff,13,0,0,0,13,0,0,1463.6734948043004,97.57823298695331,5523.367474021488,1104.6734948042977,60,56,4,56,2,-1,-1,0,362.0000000000002,-2.999999999999389,25.713936703480613,62
mixed_smooth_50002,L90,50002,mixed,smooth,c2113e4b34732c58f2914476c6325e7aaa1e042bdb3481270ec0bd8d83344c7f,16,16,6575.605078364438,410.97531739777736,25913.025391822182,12419.342534911755,219,21,16,0,23,,True,13,61,1.7913685000967234,1.851675300014904,188,172,31,2,1297.9999999999989,95.0000000000007,5182.605078364437,0.0,5,203,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,56381193438664dfe3cb909f8fb49f40a151b8d599f5c6cd40dbe34c9cfc9085,0,0,0,0,0,0,0,1528.0194871399399,95.50121794624624,5615.097435699699,1123.0194871399399,66,73,-7,73,-2,4,4,0,392.99999999999886,12.00000000000054,0.0,63
directional_endpoint_50046,L30,50046,directional,endpoint,a981d0b46d153c3bc16c4f0c080dc4b95c1eb74bc53f407349956a29045feb68,12,12,7994.06562915457,666.1721357628809,27770.328145772844,12006.022967772704,379,59,12,1,25,,True,9,76,2.5791956998291425,2.679095800005598,336,324,43,17,2239.0000000000014,200.99999999999915,5554.065629154568,0.0,47,344,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,a24befa50f3cc0c43a84d031df8367dd7910ad86ea702385cb747fa70ae55830,0,0,0,0,0,0,0,1127.2482046629339,93.9373503885779,3576.241023314644,715.2482046629293,50,41,9,41,15,39,39,1,295.00000000000296,117.00000000000023,-1595.178073129532,45
mixed_endpoint_50020,L30,50020,mixed,endpoint,56aa805bae245cd1bacad60b2da54f34dd6361d7eee6a2fc398cf60dd397594c,10,10,7260.036070199835,726.0036070199835,26025.18035099916,9623.474806744469,335,16,10,0,25,,True,7,61,1.0441753000486642,1.086363700014772,307,297,28,5,1987.0000000000016,68.00000000000125,5205.0360701998325,773.6682557838649,6,312,2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,a283553e6023c582aec7ef2a60bb4b6989a185499d4fcebd34dd16cbe6028044,0,0,0,0,0,0,0,924.273036595644,92.42730365956436,4441.365182978199,888.2730365956404,3,5,-2,5,3,4,4,0,24.00000000000273,12.000000000000888,447.8809290885065,9
