session_id,rows,unique_accepted_actions,complete,final_virtual_time_s,cleared_count,mean_clear_time_s,api_response_span_s,purpose
20260910-193306-p3,6,6,True,19,0,,0.055,automation_smoke_only_not_strategy_evaluation
20260910-193359-p4,6,6,True,19,0,,0.025,automation_smoke_only_not_strategy_evaluation
