K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,route_mode,n_optical_fallback,n_cover_visited,n_insert,n_defer,pending_max,n_batch,n_probe,n_aggressive_clear,n_aggressive_clear_ok,hex37_route,mean_first_detect_index,p95_first_detect_index,seed,N,error_mode
15,9354.195488464406,623.6130325642937,37140.97744232202,12231.346272198203,310,21,15,True,,0.17134600000281353,HEX37,ROUTE_INSERT_V3,0,37,24,36,12,19,16,12,7,CURRENT,5.466666666666667,21.499999999999993,0,15,smooth
13,10340.618170563983,795.4321669664603,39168.090852819885,14907.64498488106,407,23,13,True,,0.18117290000373032,HEX37,ROUTE_INSERT_V3,0,37,33,36,7,29,13,12,3,CURRENT,8.0,22.999999999999986,1,13,smooth
15,9788.28200908495,652.5521339389966,39636.41004542476,14391.733744170338,299,20,15,True,,0.15297490000375547,HEX37,ROUTE_INSERT_V3,0,37,23,36,9,16,18,13,8,CURRENT,4.866666666666666,16.099999999999994,2,15,smooth
15,10492.054833410853,699.4703222273903,39665.27416705428,15618.911444670775,411,29,15,True,,0.20818009998765774,HEX37,ROUTE_INSERT_V3,0,37,50,36,7,44,24,19,5,CURRENT,10.933333333333334,20.299999999999997,3,15,smooth
15,8935.170881778944,595.6780587852629,35060.85440889473,10886.379303419251,310,17,15,True,,0.14710860000923276,HEX37,ROUTE_INSERT_V3,0,37,20,36,10,17,28,10,8,CURRENT,5.066666666666666,19.599999999999998,4,15,smooth
14,9773.48836874962,698.1063120535443,36812.44184374809,12794.394474926161,390,22,14,True,,0.16081060000578873,HEX37,ROUTE_INSERT_V3,0,37,31,36,7,27,23,15,8,CURRENT,8.5,19.35,5,14,smooth
13,9240.043502217082,710.7725770936217,35135.21751108542,10461.545599542625,359,20,13,True,,0.17758070000854786,HEX37,ROUTE_INSERT_V3,0,37,26,36,10,23,17,14,8,CURRENT,4.615384615384615,21.19999999999999,6,13,smooth
16,8708.837095460742,544.3023184662964,34374.18547730371,10450.915031646979,293,21,16,True,,0.16140740000992082,HEX37,ROUTE_INSERT_V3,0,37,31,34,8,24,19,15,10,CURRENT,6.25,21.0,7,16,smooth
15,9523.14403885612,634.8762692570747,37875.720194280584,12272.74893872257,315,18,15,True,,0.14383519999682903,HEX37,ROUTE_INSERT_V3,0,37,25,36,8,20,18,9,6,CURRENT,5.866666666666666,19.299999999999997,8,15,smooth
12,10053.327406011365,837.7772838342804,36331.63703005684,13643.273368914977,447,33,12,True,,0.1709056999970926,HEX37,ROUTE_INSERT_V3,1,37,20,36,6,18,30,8,7,CURRENT,8.083333333333334,19.45,9,12,smooth
