seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
3000,15,15,13171.330701103649,878.08871340691,46996.65350551822,30794.222896031304,444,375,5,25,True,,0.8015986999962479,383,368,61,48,2616.9999999999945,1155.0000000000014,9399.330701103661,0.0
3001,12,12,10259.314901940605,854.9429084950503,36681.57450970301,20955.890342666942,363,252,3,25,True,,0.45424330001696944,325,313,38,27,2142.9999999999995,780.0000000000022,7336.3149019406055,0.0
3002,13,13,14362.293146513777,1104.7917805010597,51481.46573256882,34690.89720269447,422,520,6,25,True,,1.042942200001562,359,346,63,55,2479.9999999999973,1586.0000000000127,10296.293146513774,269.0678917473051
3003,16,16,11362.750788146373,710.1719242591483,42428.75394073195,25713.28179144105,385,190,2,24,True,,0.9554799000034109,346,330,39,22,2274.9999999999964,601.9999999999985,8485.750788146368,0.0
3004,12,12,11530.445701359567,960.8704751132973,42497.228506797896,23632.131339987547,383,249,3,25,True,,0.8237942999985535,340,328,43,32,2259.9999999999945,771.000000000014,8499.445701359562,0.0
3005,14,14,14014.910270983706,1001.065019355979,52299.551354918585,33614.64268732543,397,397,5,25,True,,1.0309312000172213,342,328,55,45,2335.999999999999,1219.0000000000014,10459.910270983692,0.0
3006,11,11,14486.435289053836,1316.948662641258,52617.17644526921,35615.26975742941,441,447,5,25,True,,0.7909224000177346,390,379,51,43,2600.000000000001,1362.999999999992,10523.435289053836,0.0
3007,16,16,11808.056389866664,738.0035243666665,43995.28194933335,27210.483179330557,357,293,4,25,True,,0.8521986000123434,303,287,54,40,2098.0,911.0000000000015,8799.05638986666,0.0
3008,15,15,14719.658430639498,981.3105620426333,55043.29215319769,38824.028186948446,395,453,5,25,True,,1.0247771000140347,338,323,57,44,2321.999999999992,1388.9999999999536,11008.658430639529,292.62768393300576
3009,11,11,14736.173282425443,1339.6521165841311,54285.86641212735,35608.03744328726,441,424,7,25,True,,1.3879591999866534,377,366,64,60,2584.999999999997,1293.999999999978,10857.17328242548,0.0
3010,16,16,13607.496076116266,850.4685047572666,49342.480380581306,33810.28588240004,432,392,6,24,True,,1.4213484000065364,365,349,67,51,2531.000000000002,1207.9999999999823,9868.496076116284,0.0
3011,16,16,13111.340556704354,819.4587847940221,49406.70278352184,32693.536219864458,336,411,7,25,True,,2.1258993000083137,264,248,72,61,1964.9999999999986,1264.9999999999668,9881.340556704361,0.0
3012,14,14,14651.16815897558,1046.5120113553987,54015.84079487767,40302.884151888575,376,536,6,25,True,,1.856298800004879,306,292,70,61,2212.0000000000027,1636.0000000000339,10803.16815897554,0.0
3013,16,16,13833.88691835586,864.6179323972412,50209.4345917794,35092.63359745302,411,449,5,23,True,,1.0719526000029873,351,335,60,45,2413.000000000004,1378.9999999999893,10041.886918355855,0.0
3014,11,11,10902.961843939445,991.1783494490405,38024.80921969738,20671.18654308073,426,253,3,25,True,,0.6497296000015922,392,381,34,26,2516.999999999998,780.9999999999832,7604.961843939458,0.0
3015,13,13,9242.509759723147,710.9622892094728,31847.54879861574,13930.828791747765,440,81,1,25,True,,0.5287292999855708,408,395,32,14,2603.9999999999986,269.0000000000022,6369.509759723146,0.0
3016,14,14,12624.00427476257,901.7145910544693,46040.02137381296,29769.20236994828,385,376,4,25,True,,0.8016781999904197,333,319,52,37,2260.0000000000045,1155.999999999972,9208.00427476259,0.0
3017,11,11,9821.145212428815,892.8313829480741,36000.72606214394,19176.397986091728,371,134,2,25,True,,0.8590330999868456,335,324,36,25,2197.0000000000023,424.0000000000299,7200.145212428783,0.0
3018,13,13,13470.708266691088,1036.2083282070068,48738.54133345534,31746.00023283176,428,393,5,25,True,,0.7342568000021856,377,364,51,43,2517.9999999999973,1205.0000000000368,9747.70826669105,318.6518953353261
3019,16,16,14747.107408518985,921.6942130324366,54330.537042594995,37158.80636829666,380,542,6,25,True,,0.9772814000025392,313,297,67,57,2222.9999999999955,1657.999999999989,10866.107408518981,0.0
3020,14,14,12750.0154080178,910.7153862869857,46740.07704008899,29529.703742902107,400,340,4,25,True,,1.1253704999980982,352,338,48,34,2354.000000000002,1047.999999999989,9348.01540801783,0.0
3021,13,13,10595.517654718367,815.0398195937206,39712.58827359189,22485.31240680189,348,192,3,25,True,,1.0147546000080183,304,291,44,31,2050.999999999999,601.9999999999943,7942.517654718365,812.3191643552527
3022,16,16,12503.283541636722,781.4552213522951,46326.41770818369,31188.964987464857,369,346,4,23,True,,1.2558174000005238,310,294,59,44,2168.000000000002,1069.9999999999932,9265.283541636712,0.0
3023,12,12,13188.666659356466,1099.0555549463722,47193.33329678228,29703.83713036225,461,340,6,25,True,,1.219672500010347,400,388,61,52,2705.9999999999995,1044.0000000000236,9438.66665935643,0.0
3024,10,10,13247.558815982537,1324.7558815982536,48087.794079912484,30913.112216115846,400,415,4,25,True,,1.3381611999939196,356,346,44,38,2364.9999999999995,1265.0000000000332,9617.558815982533,0.0
3025,16,16,11747.224267144742,734.2015166965464,42961.12133572375,25893.60960436017,402,253,3,24,True,,1.0890074000053573,353,337,49,33,2363.999999999997,790.9999999999894,8592.22426714476,0.0
3026,11,11,12047.408133427143,1095.2189212206495,43302.040667135734,27112.741266784367,405,324,3,25,True,,0.8553002999979071,364,353,41,32,2393.0000000000023,993.9999999999906,8660.408133427138,0.0
3027,12,12,10925.781343544508,910.481778628709,37188.90671772255,19531.694784669566,473,222,2,25,True,,0.6913860999920871,438,426,35,22,2797.999999999999,689.9999999999878,7437.781343544526,0.0
3028,11,11,12309.669397259358,1119.0608542963053,43413.346986296616,24415.354971438115,425,368,4,25,True,,1.0533401000138838,381,370,44,35,2501.0,1126.0000000000416,8682.669397259302,0.0
3029,12,12,12699.300532803432,1058.275044400286,45816.5026640171,29146.3352280662,415,358,6,25,True,,1.4260647000046447,345,333,70,63,2438.0000000000036,1098.0000000000146,9163.300532803407,0.0
