seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
0,15,15,6787.281355907149,452.48542372714326,25246.40677953575,10913.483738812436,279,20,0,25,True,,0.9948161999927834,241,226,38,3,1647.999999999999,89.99999999999956,5049.281355907149,110.36555862868227
1,13,13,7100.573466146463,546.1979589343433,25587.86733073232,11337.587671004576,323,16,0,25,True,,1.186110499984352,282,269,41,7,1909.0000000000016,73.99999999999916,5117.573466146461,265.58281088134027
2,15,15,6319.204446329412,421.2802964219608,24451.022231647057,9473.496597170386,227,20,0,25,True,,1.2692339999775868,189,174,38,4,1339.0000000000011,90.0,4890.2044463294105,212.69268755012126
3,15,15,7245.897102266327,483.05980681775515,26584.48551133164,11434.781847813174,311,19,0,25,True,,1.1738372999825515,272,257,39,6,1841.9999999999995,87.00000000000063,5316.897102266326,190.94863351780532
4,15,15,6301.573855565641,420.10492370437606,24007.869277828202,12276.65236211817,239,20,0,25,True,,0.948370199999772,198,183,41,1,1410.0000000000002,90.00000000000001,4801.573855565641,429.8166265344744
5,14,14,6618.6399447883705,472.75999605631216,23533.19972394184,8081.122332595878,310,15,0,25,True,,0.5831288000044879,276,262,34,1,1839.0000000000027,72.99999999999966,4706.639944788369,0.0
6,13,13,6836.812823494638,525.9086787303568,25804.0641174732,9889.06007734188,270,18,0,25,True,,1.0035068000142928,227,214,43,4,1595.999999999999,80.00000000000011,5160.812823494639,252.14496360609428
7,16,16,5541.957648253332,346.37235301583326,20989.78824126664,10854.005092794761,212,20,0,20,True,,0.8028797000006307,169,153,43,2,1252.0000000000016,92.00000000000063,4197.95764825333,0.0
8,15,15,6575.562919766397,438.37086131775976,25532.81459883199,9918.69204879947,236,19,0,25,True,,0.7488298999960534,197,182,39,5,1382.0000000000011,86.99999999999892,5106.562919766397,1038.831612296256
9,12,12,6957.638715506309,579.8032262921924,25213.193577531554,9002.61717207775,312,15,0,25,True,,0.5907461000024341,277,265,35,5,1846.0000000000007,68.9999999999988,5042.638715506313,1051.372607809114
10,15,15,6782.618081440347,452.1745387626898,25953.090407201737,12236.287639256338,255,20,0,25,True,,0.6197237999876961,220,205,35,4,1502.0000000000002,89.99999999999977,5190.618081440345,0.0
11,10,10,6826.066497636779,682.6066497636779,23430.33248818389,7341.91086095945,352,11,0,25,True,,0.34162810002453625,331,321,21,4,2086.999999999999,53.00000000000059,4686.06649763678,123.38852552355911
12,14,14,6613.00532105413,472.35752293243786,24885.026605270657,9199.617083145396,263,16,0,25,True,,0.8792247999808751,228,214,35,4,1559.9999999999993,76.0000000000001,4977.005321054131,0.0
13,16,16,6278.997213324958,392.43732583280985,24399.986066624795,13607.519043481518,223,18,0,21,True,,0.7418081000214443,177,161,46,8,1313.0,85.99999999999996,4879.9972133249585,0.0
14,11,11,6825.492267351049,620.4992970319136,24552.461336755252,9216.989529377903,310,21,1,25,True,,0.8222133000090253,263,252,47,6,1829.9999999999993,85.00000000000001,4910.49226735105,301.5694812192123
15,16,16,5050.529020791547,315.6580637994717,20412.645103957744,15762.48115103465,150,21,0,10,True,,1.2265593000047375,97,81,53,4,872.9999999999997,94.99999999999976,4082.529020791548,0.0
16,13,13,7496.136237082908,576.625864390993,26640.68118541452,13261.113944977482,353,17,0,25,True,,0.5973998999979813,310,297,43,4,2091.0000000000014,77.00000000000097,5328.136237082903,0.0
17,15,15,6971.218500994872,464.7479000663248,26541.092504974367,13981.055757603672,269,17,0,25,True,,1.0473337000003085,221,206,48,7,1582.0,80.99999999999895,5308.2185009948735,364.2806061708252
18,16,16,5312.550129817002,332.0343831135626,20152.750649085,12002.663679191335,202,21,0,17,True,,1.2576190999825485,154,138,48,2,1187.0000000000016,95.00000000000009,4030.5501298169993,0.0
19,14,14,6917.595739964462,494.11398142603304,26392.978699822314,13458.584331264741,265,17,0,25,True,,0.7591248000098858,224,210,41,11,1560.0000000000002,78.99999999999989,5278.595739964463,274.7449025998294
20,16,16,7456.163920532251,466.0102450332657,30040.819602661253,14412.559463139665,229,25,1,20,True,,0.9917222000076436,181,165,48,5,1341.0000000000011,107.00000000000065,6008.16392053225,0.0
21,12,12,6712.4592300448185,559.3716025037348,24842.296150224098,10018.334566238242,283,16,0,25,True,,0.6263576000055764,252,240,31,1,1671.9999999999998,72.00000000000023,4968.459230044819,931.4330904203962
22,15,15,6949.269164946757,463.28461099645045,26906.345824733788,12837.337701123639,250,18,0,25,True,,0.7933805999928154,211,196,39,6,1484.0,83.99999999999964,5381.269164946756,0.0
23,10,10,6821.785655221774,682.1785655221773,23588.928276108854,6900.2165005389625,346,11,0,25,True,,0.4712273000041023,325,315,21,1,2051.000000000002,52.99999999999993,4717.785655221771,0.0
24,12,12,6294.294775524481,524.5245646270401,23161.473877622408,7413.4453144676045,270,14,0,25,True,,0.8482521999976598,241,229,29,0,1596.0000000000011,65.99999999999989,4632.29477552448,941.3993389001453
25,13,13,6801.36682978849,523.1820638298839,25976.834148942435,10546.65683719594,260,16,0,25,True,,1.2110134999966249,223,210,37,3,1532.0000000000014,74.00000000000112,5195.366829788488,477.4109650478431
26,16,16,6142.760058937823,383.9225036836139,22693.80029468911,11524.808334068897,256,20,0,18,True,,1.4968647999921814,220,204,36,8,1511.9999999999989,91.9999999999991,4538.760058937823,0.0
