scene_id,scene_group,seed,N,family,error_mode,source_sha256,variant,K,T,T_over_K,move_m,n_measure,n_clear,n_safe,n_full_225,all_certified,failure,wall_s,detected,movement_s,measure_s,clear_s,n_switch,discovery_measure,refine_measure,no_signal,failed_clear,action_time_max_error,total_time_error,after_last_clear_s,full_success,truth_clear_match,action_count_match
evaluation-10-boundary-0-smooth,evaluation-10-boundary-0,200100,10,boundary,smooth,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,O,10,4588.9602192608445,458.8960219260845,18119.801096304225,152,12,0,0,True,,0.27891240001190454,10,3623.9602192608454,909.0,56.0,149,116,36,130,2,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-smooth,evaluation-10-boundary-0,200100,10,boundary,smooth,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,JS,10,3479.914372782908,347.9914372782908,13129.571863914543,134,11,0,0,True,,0.6183407999924384,10,2625.9143727829087,801.0,53.0,131,116,18,106,1,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-smooth,evaluation-10-boundary-0,200100,10,boundary,smooth,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,JO,10,3718.6083820500407,371.8608382050041,14463.041910250204,129,12,0,0,True,,0.335870300012175,10,2892.6083820500407,770.0,56.0,125,116,13,106,2,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-smooth,evaluation-10-boundary-0,200100,10,boundary,smooth,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,SO,10,3780.0867186602013,378.0086718660201,14595.433593301004,135,11,0,0,True,,0.34673419999307953,10,2919.086718660201,808.0,53.0,133,116,19,112,1,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-smooth,evaluation-10-boundary-0,200100,10,boundary,smooth,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,JSO,10,3409.174162335815,340.9174162335815,12910.87081167907,130,10,0,0,True,,0.3817964000045322,10,2582.174162335814,777.0,50.0,127,116,14,106,0,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-smooth,evaluation-10-boundary-0,200100,10,boundary,smooth,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,JSO_ALLSCAN,10,4940.341786070734,494.0341786070734,12186.708930353678,408,12,0,0,True,,1.5123086999810766,10,2437.3417860707345,2447.0,56.0,407,392,16,382,2,0.0,0.0,288.20240862570427,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,ORIGINAL,10,5305.600450724898,530.5600450724899,21348.002253624483,150,39,2,0,True,,2.2944057999993674,10,4269.600450724897,899.0,137.0,149,116,34,130,29,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,COMPACT,10,5462.081517339317,546.2081517339317,21710.40758669658,150,67,4,0,True,,2.1900195999769494,10,4342.081517339317,899.0,221.0,149,116,34,130,57,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,J,10,3993.060168614519,399.3060168614519,15555.300843072595,130,29,1,0,True,,0.2777166000159923,10,3111.060168614519,775.0,107.0,125,116,14,106,19,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,S,10,3803.3380289076554,380.3338028907655,14526.690144538283,136,22,1,0,True,,0.3809538999921642,10,2905.3380289076554,812.0,86.0,132,116,20,110,12,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,O,10,4678.168909362843,467.81689093628427,18460.84454681421,155,14,0,0,True,,0.25080330000491813,10,3692.1689093628415,924.0,62.0,149,116,39,130,4,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,JS,10,3679.9383583165886,367.9938358316589,13604.691791582942,134,46,4,0,True,,0.5091281000059098,10,2720.938358316588,801.0,158.0,131,116,18,106,36,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,JO,10,3770.054449112438,377.0054449112438,14655.272245562186,131,13,0,0,True,,0.30531570001039654,10,2931.054449112438,780.0,59.0,125,116,15,106,3,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,SO,10,3836.5007597702743,383.6500759770274,14742.50379885137,139,12,0,0,True,,0.2575213999953121,10,2948.500759770274,832.0,56.0,137,116,23,114,2,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,JSO,10,3517.7396867847756,351.77396867847756,13328.698433923875,133,12,0,0,True,,0.29853149998234585,10,2665.7396867847756,796.0,56.0,131,116,17,106,2,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-0-spatial,evaluation-10-boundary-0,200100,10,boundary,spatial,4747cde3da5a8bb1fea045f9df619ee26a290b8da9a011df0c5d9d176ea72c9c,JSO_ALLSCAN,10,5736.506516425296,573.6506516425295,12522.532582126492,528,15,0,0,True,,1.864669899980072,10,2504.5065164252987,3167.0,65.0,527,506,22,496,5,0.0,0.0,288.9662778396123,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,ORIGINAL,10,5260.996004562112,526.0996004562112,20944.98002281055,148,55,4,0,True,,2.6141011000145227,10,4188.996004562112,887.0,185.0,147,112,36,128,45,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,COMPACT,10,6011.294998512265,601.1294998512265,23691.474992561314,150,118,6,0,True,,2.2177878999791574,10,4738.294998512264,899.0,374.0,149,118,32,130,108,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,J,10,4435.8969257911685,443.58969257911684,17124.484628955837,132,68,5,0,True,,0.48908319999463856,10,3424.8969257911676,787.0,224.0,127,118,14,108,58,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,S,10,5027.814250326085,502.7814250326085,19074.071251630423,173,61,4,0,True,,1.1716658000077587,10,3814.8142503260847,1010.0,203.0,145,118,55,138,51,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,O,10,5107.831020796304,510.7831020796304,20369.155103981524,161,20,1,0,True,,0.7922085000027437,10,4073.8310207963045,954.0,80.0,149,118,43,130,10,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JS,10,3822.475153009345,382.2475153009345,14462.375765046727,140,25,2,0,True,,0.6921678999788128,10,2892.475153009345,835.0,95.0,135,118,22,110,15,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JO,10,4092.0504592506322,409.20504592506325,16035.25229625316,138,16,0,0,True,,0.931438600004185,10,3207.0504592506322,817.0,68.0,127,118,20,108,6,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,SO,10,4747.424485019443,474.7424485019443,18877.122425097215,151,18,1,0,True,,0.7538998999807518,10,3775.424485019443,898.0,74.0,143,118,33,122,8,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JSO,10,3833.7955215819848,383.37955215819846,14568.97760790992,144,14,0,0,True,,0.6316213000100106,10,2913.7955215819848,858.0,62.0,138,118,26,114,4,1.1368683772161603e-13,0.0,0.0,True,True,True
evaluation-10-boundary-1-endpoint,evaluation-10-boundary-1,200101,10,boundary,endpoint,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JSO_ALLSCAN,10,5057.795521581984,505.7795521581984,14568.97760790992,348,14,0,0,True,,0.47010549998958595,10,2913.7955215819848,2082.0,62.0,342,322,26,318,4,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,ORIGINAL,10,5204.493007421748,520.4493007421748,20782.465037108734,148,47,3,0,True,,2.4672706999990623,10,4156.493007421748,887.0,161.0,147,112,36,128,37,0.0,0.0,0.0,True,True,True
