variant,paired_mean_delta_T,paired_mean_delta_T_over_K,paired_mean_delta_walking_time,paired_mean_delta_measurements,paired_mean_delta_failed_clear,paired_win_rate_T,paired_win_rate_measure,p95_delta_T,full_scenes,scenes
COMPACT,-208.60929701208144,-16.901470320906714,-165.6045351073197,-5.2595238095238095,-3.7976190476190474,0.6761904761904762,0.5880952380952381,656.5999170480936,420,420
J,-1279.4582072683818,-100.31762257773745,-1050.043921554096,-25.61190476190476,-24.38809523809524,0.9714285714285714,0.9452380952380952,-111.98823820353046,420,420
JO,-1413.9737975257005,-110.533484166798,-1158.5214165733196,-22.145238095238096,-39.08571428571429,0.9738095238095238,0.9285714285714286,-138.63098328420236,420,420
JS,-1571.6262103605407,-122.18667842756925,-1340.6857341700647,-27.99047619047619,-19.776190476190475,0.9857142857142858,0.9642857142857143,-327.6602423614482,420,420
JSO,-1612.9144334885252,-125.54878890097437,-1321.621576345668,-28.63809523809524,-38.84285714285714,0.9952380952380953,0.9714285714285714,-288.85059075352365,420,420
JSO_ALLSCAN,-276.7141487126551,-19.228723307257056,-1463.2570058555123,216.9904761904762,-38.29047619047619,0.5333333333333333,0.02142857142857143,1133.4176086996144,420,420
O,-779.7223032322838,-60.46737169599257,-637.660398470379,-2.761904761904762,-41.14047619047619,0.919047619047619,0.5,111.57542640336861,420,420
S,-905.2696246759225,-69.46101396189017,-712.2434341997321,-19.70952380952381,-23.571428571428573,0.9452380952380952,0.95,24.741694260694878,420,420
SO,-1026.9179869016432,-79.05578992633335,-764.8179869016433,-22.904761904761905,-41.095238095238095,0.9238095238095239,0.9619047619047619,77.95389451026728,420,420
